teamId,playerId,playerName,Position,Age,Id
0,120120,No Name,MID,0,1
13,106968,Jorginho,MID,22,2
13,113994,Leandro Trossard,AM,25,3
13,125209,Mohamed Elneny,MID,29,4
13,238940,Thomas Partey,MID,30,5
13,247454,Martin Odegaard,MID,32,6
13,273257,Oleksandr Zinchenko,DEF,26,7
13,279379,Gabriel Jesus,FWD,21,8
13,288795,Rob Holding,DEF,28,9
13,297403,Kieran Tierney,DEF,23,10
13,316858,Aaron Ramsdale,GK,25,11
13,322036,Ben White,DEF,24,12
13,334087,Gabriel Magalhaes,DEF,28,13
13,342564,Reiss Nelson,AM,23,14
13,345845,Eddie Nketiah,FWD,22,15
13,349102,Albert Sambi Lokonga,MID,24,16
13,361822,William Saliba,DEF,22,17
13,363686,Emile Smith Rowe,AM,26,18
13,367185,Bukayo Saka,AM,33,19
13,377283,Takehiro Tomiyasu,DEF,25,20
13,380706,Gabriel Martinelli,AM,19,21
13,394924,Fabio Vieira,AM,30,22
13,419077,Marquinhos,AM,27,23
13,424462,Jakub Kiwior,DEF,20,24
13,456771,Ethan Nwaneri,MID,33,25
13,69945,Cedric Soares,DEF,25,26
13,89401,Granit Xhaka,MID,28,27
14,106413,Dennis Praet,MID,26,28
14,106981,Jamie Vardy,FWD,32,29
0,120763,Ricardo Pereira,DEF,0,30
14,135366,Ayoze Perez,FWD,39,31
0,136345,Youri Tielemans,MID,0,32
14,137015,James Maddison,AM,30,33
0,141169,Timothy Castagne,DEF,0,34
14,22079,Jonny Evans,DEF,23,35
14,243552,Daniel Amartey,DEF,29,36
14,289253,Kelechi Iheanacho,FWD,19,37
0,299693,Wout Faes,DEF,0,38
14,301441,James Justin,DEF,25,39
14,317998,Caglar Soyuncu,DEF,33,40
0,327683,Wilfred Ndidi,MID,0,41
14,331382,Harvey Barnes,AM,24,42
14,339672,Daniel Iversen,GK,29,43
14,344380,Harry Souttar,DEF,29,44
0,345560,Patson Daka,FWD,0,45
14,345664,Boubakary Soumare,MID,25,46
0,373946,Wesley Fofana,DEF,0,47
0,387417,Tete,AM,0,48
14,391256,Kiernan Dewsbury-Hall,MID,27,49
14,396317,Luke Thomas,DEF,25,50
0,416970,Victor Kristiansen,DEF,0,51
0,90278,Nampalys Mendy,MID,0,52
14,99165,Danny Ward,GK,18,53
15,106968,Jorginho,MID,22,54
15,113880,Kepa,GK,31,55
0,114075,N'Golo Kante,MID,0,56
15,115868,Hakim Ziyech,AM,31,57
15,252419,Denis Zakaria,MID,24,58
0,255777,Ruben Loftus-Cheek,MID,0,59
15,25931,Cesar Azpilicueta,DEF,22,60
0,28550,Thiago Silva,DEF,0,61
15,299272,Ben Chilwell,DEF,28,62
15,302692,Christian Pulisic,AM,27,63
15,321390,Edouard Mendy,GK,29,64
15,326413,Kai Havertz,AM,34,65
15,343346,Mason Mount,MID,28,66
0,353292,Trevoh Chalobah,DEF,0,67
0,361330,Reece James,DEF,0,68
15,362431,Joao Felix,AM,26,69
15,363496,Marc Cucurella,DEF,34,70
15,365406,Benoit Badiashile,DEF,31,71
15,369430,Enzo Fernandez,MID,27,72
0,373946,Wesley Fofana,DEF,0,73
15,375621,Conor Gallagher,MID,18,74
0,389935,Noni Madueke,AM,0,75
15,393407,Armando Broja,FWD,22,76
0,409376,Mykhailo Mudryk,AM,0,77
15,410522,David Datro Fofana,FWD,24,78
15,410639,Carney Chukwuemeka,MID,26,79
15,430294,Lewis Hall,DEF,26,80
0,430908,Omari Hutchinson,AM,0,81
0,44120,Pierre-Emerick Aubameyang,FWD,0,82
15,90880,Kalidou Koulibaly,DEF,31,83
15,93894,Mateo Kovacic,MID,24,84
0,97692,Raheem Sterling,AM,0,85
0,108186,Raul Jimenez,FWD,0,86
161,115917,Jonny Otto,DEF,29,87
161,122714,Jose Sa,GK,29,88
161,123481,Mario Lemina,MID,27,89
161,124106,Leander Dendoncker,MID,26,90
161,134543,Dan Bentley,GK,25,91
161,140088,Adama Traore,AM,27,92
